Ticker,Description,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Price to Book (FY),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Sector
AC,"Associated Capital Group, Inc.",-75.2829039,-136.11069807,-75.2003146,,,-100.54305663,-190.2634256,,-80.9305779,-182.96966074,-2.2206,-81.01272953,-182.60898941,,-23.20707658,-0.99407564,,,,,,0.64820271,1.89456412,1.27541307,,1.78142202,2.04727732,2.04727732,,0.83989377,40.77716479,,20.85485907,Finance
ACA,"Arcosa, Inc.",6.48215586,10.13553329,11.51012891,15.45603495,18.85143571,5.88928151,23.41846758,7.13393972,-26.51894839,254.47714025,5.0474,-26.66666667,253.75722543,10.91492777,4.78341332,2.29726961,-0.22165388,-16.51976116,,-55.40540541,1.61851257,0.99436034,2.35125182,1.90336027,0.684,8.25710899,13.2029111,10.14693452,1.47457224,1.4951621,11.60926264,91.28544444,1.46826736,Producer Manufacturing
ACAB,Atlantic Coastal Acquisition Corp. II,,,,,,21.80593794,-134699.44134078,,-10.14492754,,0.0236,-61.22713627,,,85839.3314922,-87.74319656,,-100,-33.49105122,,,0.11981132,0.04206296,0.06289308,,2.88516039,3.14023244,3.14023244,0.38283287,1.33425808,65.79764122,,,Finance
ACAC,Acri Capital Acquisition Corporation,,,,,,-38.86229375,,,-62.61904762,,0.0202,-74.991613,,,,2.31986933,300,,64.95739273,,,0.3652968,0.01355954,0.00456621,,1.29122991,1.36581379,1.36581379,0.12705018,1.35861642,118.12297735,,,Finance
ACCD,"Accolade, Inc.",3.90234484,17.13464572,10.0082093,20.82545684,32.73788215,9.09361401,6.2152037,-42.8278745,17.16517432,-234.27505054,-6.4485,14.53825926,-273.32282902,-126.57582984,-29.75117636,-2.44225523,-0.51744145,-0.91934432,50.03529827,27.33791138,-13.19951975,3.65296804,6.25869259,4.86335056,-0.446923,-15.84979653,-29.9884105,-18.1043624,3.04383366,1.02278354,,,1.31685062,Technology Services
ACCO,Acco Brands Corporation,22.60307998,-3.83646867,41.70528267,-12.78089888,25.50831793,126.2195122,-24.80211082,6.16656398,,-113.19801791,-0.1385,,-112.95387635,-0.67775724,-9.59466891,1.18160985,-1.34873135,-1.58487168,19.84126984,-55.85260116,3.1371945,1.61453078,2.98473907,2.28794667,0.226667,-0.91943144,-3.19380027,-1.36074841,1.04138577,0.58004033,,3.9805597,0.25518579,Producer Manufacturing
ACDC,ProFrac Holding Corp.,-16.7312434,106.67977161,-33.65047571,1032.94288053,29.66688654,-26.75513699,353.64493525,19.56629288,-104.86648365,,1.6944,-113.18181818,,3.77226253,154.02037289,-5.20561492,-6.32985754,69.93915839,-63.0073187,,2.43238786,3.19270239,5.24756907,3.75486512,0.088571,4.10329607,,14.01528685,0.62556696,-0.40691496,6.13739513,4.47898012,0.43517611,Industrial Services
ACEL,"Accel Entertainment, Inc.",-0.19133175,31.9977896,-0.65457595,29.95788638,25.99688388,4.56678657,24.27182805,10.15212462,9.10815939,143.56821589,0.8123,8.72358963,134.8046516,7.64098054,36.95083082,-0.80820105,-3.60797163,59.38846913,-65.58528023,-25.16234167,6.25079269,2.23123732,2.44088414,2.4395037,0.174564,6.5498999,30.34280782,8.21330252,2.94978006,4.80958228,15.97356544,15.68959845,0.76080315,Consumer Services
ACHC,"Acadia Healthcare Company, Inc.",3.84371268,12.78974107,16.75367729,13.30250716,23.14807047,16.31241213,12.06498825,17.09485791,9.34514745,32.69726893,2.9833,9.5190487,33.80967544,10.46349619,4.61030629,2.10044851,-1.82185186,-6.5895346,,-34.89426681,3.23398837,2.08971479,2.81928938,2.54152147,0.89008,5.39302553,9.68961999,6.31318078,1.32565055,2.34955421,24.89331437,161.38127788,2.42243516,Health Services
ACHR,Archer Aviation Inc.,,,8.69565217,-153.87405209,,-66.63568773,-38.21244122,,-60.34105815,9.80861244,-1.3195,-62.77630416,8.76940771,,-25.32535138,-4.82308757,13.75661376,-3.8961039,13.18242344,-85.36363636,,3.54767184,6.46515839,6.94905884,-0.256613,-82.47633666,-108.1274455,-104.98209052,2.67977172,2.28755609,,,,Electronic Technology
ACI,"Albertsons Companies, Inc.",-23.9478258,8.01633119,-24.59507128,4.79560937,25.89372528,-26.25121309,-1.75336908,2.94424834,-36.22080089,-16.09905975,2.2665,-36.02588686,-6.55100025,1.94913825,-6.55211861,1.95722232,0.8932258,-1.94261668,-77.84986098,-63.29120562,0.90148449,0.5052825,1.30276068,1.12304894,0.653353,4.97743143,41.51371979,8.27500023,0.17331987,7.71899669,11.51836605,34.12135277,0.16124711,Retail Trade
ACIC,American Coastal Insurance Corporation,-23.78924909,-28.22653725,,,,,,-94.78988718,-93.22019743,-709.25404123,-10.9136,-93.18493702,-711.2277491,-103.16914861,-21.34627319,-22.29889637,-0.10477144,-2.74239643,-23.54552532,41.41732021,-38.62681206,1.39690416,5.43369015,3.11854797,-0.15,-37.25769771,-225.41808654,-107.48719874,,-1.78314147,,,0.78111085,Finance
ACIW,"ACI Worldwide, Inc.",11.61608142,3.74311067,38.90655039,-0.89240373,42.13739213,358.91099056,-5.99283779,14.54637137,79.27686642,15.55101662,1.2446,79.23115018,11.25744379,9.9990787,1.61944268,2.06495209,-1.68669535,2.17963212,-60.00528961,-34.82547989,9.16224125,2.12765957,3.40738307,3.16991778,0.122,2.36425652,6.24363158,3.32680821,1.31544408,1.84403754,31.23657564,18.53962755,1.61014192,Technology Services
ACLS,"Axcelis Technologies, Inc.",7.85371231,38.88271631,15.07801459,38.45279118,43.67292103,22.7867859,62.12765033,23.08276757,29.51277398,89.59983326,5.4582,29.10455584,85.58438925,19.89993457,34.49631495,3.87951392,38.01256201,3.97577346,-7.93960209,40.62005202,21.62374266,2.51115676,4.01986879,3.58458722,1.772129,21.36601129,31.03780418,28.43057907,2.6174354,6.94101634,22.77540495,19.94495964,4.58352644,Producer Manufacturing
ACM,AECOM,4.96757753,-1.44421061,9.63813165,7.77660023,6.78324958,5.17351429,7.04293378,5.32898769,-277.85308665,88.11684383,2.1767,-275.81544084,79.35213789,2.95942055,-5.06767795,0.35056346,-0.77319718,-3.33789708,,1.44456095,4.38554167,1.58855712,2.23064869,1.71615576,0.971043,1.72497298,7.97292986,3.75673279,1.09746088,4.2687336,80.30287041,18.31156538,0.75614908,Industrial Services
ACMR,"ACM Research, Inc.",94.70076492,49.69413015,71.65758015,59.86539667,47.22219365,208.91641452,56.86518085,15.18264958,272.04007286,2.47533322,0.592,275.43736879,3.98866435,10.09767715,17.42298601,0.31712031,-4.53478358,103.1221257,,-211.26995086,-39.42268126,3.78846154,7.01443317,5.85541403,0.366843,5.59219038,9.91611474,9.60926523,1.15217872,1.63152189,18.07937286,,2.59812056,Producer Manufacturing
ACNT,Ascent Industries Co.,-26.42385873,23.73123403,-24.82219061,-9.37349065,12.68583377,-9.93096123,-19.64240338,5.22881972,-180.90962327,-0.99486221,2.1197,-181.51567609,8.99481353,5.32805984,1.79480465,-8.86555413,-3.97363935,0.21197316,-67.98503899,-97.13520902,0.12145446,1.07913669,4.46828881,4.61425292,-0.12,-3.04270288,-6.60569679,-3.8079401,1.91682447,0.63116359,,5.1302123,0.26110318,Non-Energy Minerals
ACON,"Aclarion, Inc.",-32.97212407,0.25210642,-36.10411151,-9.87506012,-245.64224737,-19.60521591,-96.01406418,-9202.51472437,-18.5110664,-47.79358572,-1.2258,-23.75213357,-42.79149302,-11694.44940772,54.2568399,7.68379483,,-99.76846658,-1.9178569,-110.60490649,-8187.92601416,24.45887446,21.78386944,32.85385942,-0.09,-133.05453904,-238.74136929,-238.74136929,0.40019566,1.48331273,,,41.79459416,Technology Services
ACP,abrdn Income Credit Strategies Fund,,7.53678572,,8.52849506,85.63996475,,-256.73952142,-172.00247301,,-270.52458567,-2.49,,-270.70457038,-181.40571384,-26.5097467,,,-25.42372881,,216.47429049,148.26839804,1.76056338,1.89487575,2.1918676,,-2.47613535,-3.35414824,-3.35414824,,0.85342499,,2.42179009,,Miscellaneous
ACR,ACRES Commercial Realty Corp.,6.96963874,44.18700791,6.98590877,45.97759623,95.36047542,7.1508499,28.81182936,57.57376323,,-154.05727278,-0.9986,132.59532595,-68.684963,6.92214461,4.04404023,-2.36491944,-3.31159644,5.10280474,68.68343033,-21.15664553,20.82312464,0,4.3694923,4.12157573,0.46,0.48041545,2.53288705,0.55894997,,0.14498234,,1.44812642,0.30869397,Finance
ACRE,Ares Commercial Real Estate Corporation,18.35167589,13.60114099,18.91038971,25.32607813,89.2798667,18.95778609,23.76100983,54.80812066,65.76271186,-59.6611366,0.5714,65.86426464,-50.73602382,17.23240166,-4.13536092,-1.81273319,-1.03949168,-9.70425302,5.72139303,18.21509824,33.06873868,1.9058296,2.74499079,2.48666492,0.228566,-0.19947629,-0.68819807,-0.27408163,,0.65693452,,9.58174743,2.52669553,Finance
ACT,"Enact Holdings, Inc.",-1.21627827,-2.04042564,,,,,,86.74713208,-3.93138618,28.47693958,4.3122,-4.52758143,28.80488764,64.30387399,-3.01579446,1.39722308,0.08608399,0.08560695,40.64639389,-2.02878083,51.18597758,2.96625881,1.9588084,1.7649605,0.889454,11.61901709,16.05412046,13.65506556,,1.08402698,6.56017295,8.11226305,3.98863271,Finance
ACTG,Acacia Research Corporation,-46.60541782,-32.73706089,-121.44478844,-57.96839208,36.86912179,-53.47467609,-205.3303214,-67.6966719,-396.84499314,-263.91315721,-3.1332,-328.67754506,-200.7897812,-211.17640106,-42.4620616,-3.93385603,-2.68751261,-65.32110092,-234.54422383,-387.6312807,-64.27908076,2.59365994,2.75647156,2.38930299,0.12,-1.15449828,-2.08256212,-2.071818,6.06361977,0.37102025,,,3.96500552,Commercial Services
ACV,Virtus Diversified Income & Convertible Fund,,,,,,,,,,,,,,,,,,,,,,0.93077371,1.61498025,1.59706774,,,,,,,,,,Miscellaneous
ACVA,ACV Auctions Inc.,3.83779446,17.60263367,0.12385873,19.7124109,41.1592085,9.0585942,-45.03852405,-25.56384021,14.82127289,-29.94609703,-0.6509,14.38461538,-30.71167276,-24.24340911,-6.92174656,-5.90164066,9.94764398,1977.25032425,-147.38025004,-194.75949275,-18.59563636,2.21543163,4.43267825,3.74575368,-0.051157,-8.56536755,-16.52796738,-13.99565608,2.18178309,4.29640987,,113.82249838,4.69582863,Retail Trade
ACWI,iShares MSCI ACWI ETF,,,,,,,,,,,,,,,,,,,,,,0.72886297,1.20324077,1.01254849,,,,,,,,,,Miscellaneous
ACWX,iShares MSCI ACWI ex U.S. ETF,,,,,,,,,,,,,,,,,,,,,,0.73235686,1.08571442,0.88253392,,,,,,,,,,Miscellaneous
ADBE,Adobe Inc.,1.64377861,10.30947408,1.69370229,9.67741935,86.60929432,4.27257977,2.72495883,33.97590361,8.34012689,0.72518703,10.0977,8.33976834,-1.36872667,27.28628801,-0.27899123,4.49744953,-0.41332361,-0.85598117,-11.69474727,7.46875908,42.43258749,2.38122783,2.76424627,3.03690456,4.133367,18.34366157,33.971276,26.79468397,1.24910007,17.07798728,46.74015748,31.2620771,12.69324886,Technology Services
ADC,Agree Realty Corporation,5.32101617,26.6681009,5.6926181,22.05270252,57.51255194,6.18329631,27.21662937,50.50463689,-2.72857827,2.42193194,1.8269,1.61401099,24.73831868,35.37832644,28.43523492,5.15813656,3.96794845,14.60980785,18.98093301,43.29252962,84.8632199,0.90372556,1.96843641,1.26222326,0.422,2.31687111,3.36078754,2.34915897,,1.10181078,31.99629608,15.48299354,10.39107069,Finance
ADD,"Color Star Technology Co., Ltd.",,143.50214779,,,19.61090329,,-1150.33569921,-477.61779242,,-251.39526669,-19.896,,-701.02933897,-467.38748966,-34.05725085,,,,,-510.3400097,-178.2343703,18.73076923,26.69322928,22.31175263,,,,,,0.02696195,,,,Technology Services
ADEA,Adeia Inc.,-29.06049937,-49.99031555,-36.52315679,-38.00082484,73.97757744,-46.7603661,9.18719524,36.82726065,-95.07427678,-435.5618508,-2.8358,-95.11043727,-433.53048308,31.52918555,-50.99128672,-2.70501934,-2.99643067,-12.45422334,-56.22597757,-21.30285429,38.83212244,0.95011876,4.65885698,2.24930141,0.268,-15.80278964,-33.6940863,-18.7027131,2.32692687,2.95181837,,5.21903702,1.85345747,Technology Services
ADES,"Advanced Emissions Solutions, Inc.",-1.73035328,2.68510579,79.57133289,-39.86932985,15.63886704,56.36255218,-155.71754438,-11.68496995,33.64341085,-114.76862889,-0.4832,22.00319659,-114.76300061,-8.65837436,-2.65433381,-0.10130326,2.75324187,18.47971042,52.30933437,-115.9974605,-11.01012749,1.76470588,7.35904222,5.06737858,-0.11,-9.06516938,-11.8514343,-10.57845511,3.20176318,0.23281548,,,0.4996133,Process Industries
ADI,"Analog Devices, Inc.",-5.71372968,64.16348036,-9.57917276,63.1325198,54.1905566,-11.18006052,94.88866358,29.37089899,-9.36621917,51.62342348,5.2536,-10.29370249,97.67818691,22.87807352,-3.86017021,-0.39863375,3.76086242,-2.51046854,2.58854578,57.90353154,31.43090372,2.57654966,2.34267888,2.04353767,2.022723,7.52892523,10.347336,8.80644685,1.10235082,2.28437413,22.22373195,22.3173043,6.41539455,Electronic Technology
ADM,Archer-Daniels-Midland Company,-13.92977584,19.15859351,3.42661336,-3.34895259,6.90276288,7.18512257,-10.50028533,3.61821707,-10.44881611,61.06096695,7.7087,-11.43473571,60.20671835,4.27177968,6.48068975,-0.73154471,-3.30788804,-2.76911445,-75.20252025,-60.21009952,2.12506275,1.51920101,1.9610471,2.39739414,1.699617,6.94374631,15.99593702,11.80385867,1.0658934,1.61685311,9.99596151,79.42868852,0.39867524,Process Industries
ADN,"Advent Technologies Holdings, Inc.",13.81780962,10.86681524,-57.89007092,-6050.91322797,-63.81268342,3.4335861,-6.67302535,-642.27382927,-77.31019523,-222.00892857,-1.4426,-82.10710711,-262.20709083,-948.53898175,-45.04840513,-20.96227582,-3.46547206,,31.56355456,-10.08595991,-589.62613245,8.50358918,9.14538864,9.24193143,-0.25,-92.33077775,-117.42952295,-111.08626905,1.21862621,0.30144717,,,3.09894527,Electronic Technology
ADNT,Adient plc,3.65541922,3.22368421,17.58241758,-3.26086957,5.6724028,21.75925926,-12.1875,1.50131011,,-110.93299245,-1.2658,,-110.83032491,-0.84979817,-15.03061793,0.03164891,-0.39257673,-29.42197966,85.71428571,,0.33283762,2.71206001,2.69419773,2.09665872,0.589315,1.22359951,5.35257156,2.31854839,0.94865591,1.59790022,28.83329205,8.837088,0.21636903,Producer Manufacturing
ADP,"Automatic Data Processing, Inc.",0.77270088,9.17609693,2.04687714,13.90448348,48.88631039,5.07553896,17.07153278,25.01748815,10.95108551,17.20740275,8.2078,10.64761169,15.70416087,18.9427166,-19.18114042,-3.2320339,-6.12538831,-1.38413123,-74.46657183,36.79190455,22.21438803,2.43183493,1.88127825,2.74174061,2.118481,7.299325,115.46129304,54.95574177,,25.99302187,26.29056398,25.31781514,4.9999539,Technology Services
ADSK,"Autodesk, Inc.",6.32506005,12.42980242,7.01438849,12.37723016,89.54499494,21.64502165,40.93213005,20.06066734,38.52964851,68.63358199,3.7752,37.88819876,65.59356137,16.64307381,9.65748013,0.41900981,-0.70789866,-12.87581699,-82.07282913,37.6669152,41.07178969,2.43097865,2.51743544,2.33902862,1.993536,10.08422753,89.82528263,24.43388314,0.728,37.15463856,48.97044993,19.29344671,8.28956547,Technology Services
ADT,ADT Inc.,-1.19241804,20.50454569,6.95782619,45.61795265,39.0740402,4.88453562,23.61030325,11.4437924,,,0.1859,,,2.69913421,5.79172293,-0.6351268,-1.65707666,1.4682318,242.94935903,24.12554127,15.27089383,3.52233677,3.27683874,3.34352431,0.034511,-0.21284568,-1.10117178,-0.29875011,0.51079863,1.563635,,5.6327686,0.88135054,Commercial Services
ADTH,"AdTheorent Holding Company, Inc.",15.0364204,0.43358631,7.9232869,-5.22208957,46.36745704,,-0.41173986,0.84897822,,3.63219895,0.3167,,11.9642789,17.66476801,-10.56486552,4.4810002,-4.35391292,-87.56661338,-124.97553816,,8.1815007,3.57142857,5.42276544,4.3037298,0,8.91173194,10.84338158,10.41042589,7.2864683,0.62669614,6.50784428,7.65430578,0.65103749,Technology Services
ADTN,"ADTRAN Holdings, Inc.",1.07004372,82.15430086,5.3126849,49.8491252,31.9111177,66.20600302,104.36655714,-3.85798256,3.27421555,81.59819921,-0.0327,3.27878366,76.40995947,-0.19862784,235.86925339,-2.87099678,9.16533593,2919.34386877,1.59351313,-2203.64524615,-5.97736208,2.33874572,4.27544105,3.47352766,-0.024,-5.70661793,-12.52883492,-10.4821499,1.39911058,0.5270701,,,0.3905909,Electronic Technology
ADUS,Addus HomeCare Corporation,3.33109432,10.01979181,5.1118042,6.07297062,30.53021701,12.1555702,-8.29883253,8.34920935,17.26664952,1.25663024,2.8444,17.17554241,1.99219962,4.83903188,-1.01215194,-0.28987749,-18.04034937,-32.43962132,125.39118855,177.84633929,10.17852637,0.61005976,2.52519298,2.19116619,1.082857,5.6877446,8.50340566,6.63474924,1.55180655,2.05195816,24.34387364,13.89055981,1.31364197,Health Services
