Ticker,Description,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Price to Book (FY),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Industry
WMT,Walmart Inc.,6.12668334,6.72801936,7.46954102,2.65314356,24.14046384,12.50412768,-9.27621483,4.01250472,371.86035235,-12.35819058,4.2721,371.66766288,-14.57617202,1.91071654,-0.6791636,4.10849898,1.46241408,2.79120074,4204.41176471,8.20767494,1.96044751,0.61261934,1.3632679,1.06459166,1.502574,5.59046026,17.87239459,10.812455,0.2550897,5.67267058,31.10978451,22.71836273,0.69225397,Specialty Stores
XOM,Exxon Mobil Corporation,10.0754384,42.75355602,12.33121019,53.08866602,25.84445033,17.35113677,84.96776593,16.35134528,16.09907121,145.95231469,13.2556,15.10152284,141.92708333,13.91975787,8.89405558,2.48067436,-0.58559861,-11.52388316,174.42842942,61.95600921,14.58153322,0.82398068,2.01120966,2.00621467,2.277543,11.080116,21.32176266,17.82220691,1.07734667,2.2118884,10.51045676,11.2439142,1.23681422,Integrated Oil
PG,Procter & Gamble Company (The),6.41268915,2.2684475,14.38631791,3.12467288,48.05258152,37.43169399,1.69401544,22.38494744,33.72135588,1.60523596,5.8992,33.59929078,-0.60371727,17.86820477,3.08937956,1.40860224,1.28726287,9.69559967,-13.63143043,1.61421095,16.81096505,1.10139623,1.40718662,1.43736281,1.703338,12.75893691,33.20329527,22.22092574,0.47965445,7.61599513,24.09039181,25.14742105,4.40491366,Household/Personal Care
MA,Mastercard Incorporated,4.23769317,17.67727586,4.05916187,,96.00828046,5.25090533,22.08828061,56.62661446,13.1225191,16.7806694,10.2266,12.40773286,14.30873719,44.68745781,2.80071146,1.71777254,-0.34571063,0.81782866,21.61406312,24.54105192,49.76373701,1.45865321,1.81362919,2.04319978,3.09037,28.28196569,172.4905303,53.99970354,1.16970866,56.0234188,32.14687002,33.958213,14.27027451,Miscellaneous Commercial Services
AVGO,Broadcom Inc.,1.63746708,20.95810565,0.83232183,38.31373866,62.0064452,0.90799031,30.87266553,43.02924435,-5.11273031,76.8239285,26.5319,-5.11347314,70.65023753,34.62036563,-3.0713246,-0.10046465,0.07631452,-0.73250068,4.9543379,22.45326927,49.12809084,1.83913007,2.77887252,2.76363823,10.959787,19.47509463,64.75734028,23.11890029,2.24520082,15.39287013,25.80834313,20.5562731,10.07172731,Semiconductors
HD,"Home Depot, Inc. (The)",15.18909198,4.13212752,13.42180413,3.87441688,31.97080106,16.39344262,4.29310478,15.27226292,21.49452044,7.44071954,16.6878,20.29434547,4.08933244,10.86701016,6.35678112,0.00130914,0.13150441,8.85041821,23.147165,-17.91503035,7.30354568,0.87016176,1.62474654,1.63317935,3.796683,21.32946154,2065.26717557,34.75868271,0.35353118,180.63939118,17.3437461,17.12140543,1.79852363,Home Improvement Chains
ORCL,Oracle Corporation,-10.0021681,17.70499529,-12.52571181,1.21864684,65.67642231,-16.76535273,4.74083439,27.57737118,-27.78433024,27.50311074,3.0741,-27.08647183,26.58925115,17.02165993,22.95305452,1.69514228,-6.71763892,19.95319931,51.58007499,68.4566428,16.95559915,1.19519937,2.08377241,1.95105586,1.32492,7.02398388,,11.98846673,0.87415704,256.20733249,30.14607444,30.25431941,5.6129857,Packaged Software
CVX,Chevron Corporation,10.14892443,51.23583572,-8.22031882,77.75295244,21.20464699,9.85958799,67.24127873,17.54975293,8.59728507,124.63627427,18.2809,8.58569052,126.976,15.00414608,7.5872002,4.82486625,-4.43896997,-21.51296169,86.01156069,80.38816064,16.47600352,1.44726819,1.94360376,2.37367474,3.80072,9.72497527,15.72056985,13.91709754,,1.7414447,10.76610865,13.21124367,1.34397681,Integrated Oil
COST,Costco Wholesale Corporation,47.14248434,6.75731646,50.16221227,7.73248223,12.2596888,60.22371365,5.29294935,3.34887944,65.86464626,7.73984383,14.1568,65.89861751,7.6659822,2.59688803,7.52423402,3.35870086,17.01466015,-7.53027909,200.83217753,92.65924022,2.78385406,0.75182106,1.58663504,1.295381,3.403864,9.45028537,27.53610503,19.31394367,0.57255159,9.6475963,38.56583808,35.97500585,1.00149166,Specialty Stores
KO,Coca-Cola Company (The),-0.61723246,10.62593606,1.13477164,6.85244207,57.90947924,-6.41500123,8.75792246,27.90084265,21.25447418,-2.56729146,2.1936,21.20141343,-2.34367004,22.27305618,-1.68620302,-0.89176891,-3.49309309,-8.20446735,-5.23002421,-15.31355481,22.25438248,1.26308192,1.75543033,1.43961338,0.483531,11.33602387,43.85100753,18.13956621,0.96747101,10.01876274,22.49546462,23.80690265,5.41320008,Beverages: Non-Alcoholic
ADBE,Adobe Inc.,1.64377861,10.30947408,1.69370229,9.67741935,86.60929432,4.27257977,2.72495883,33.97590361,8.34012689,0.72518703,10.0977,8.33976834,-1.36872667,27.28628801,-0.27899123,4.49744953,-0.41332361,-0.85598117,-11.69474727,7.46875908,42.43258749,3.35584882,2.75061111,2.94759746,4.133399,18.34366157,33.971276,26.79468397,1.24910007,17.14506294,46.92373453,31.38486231,12.74310297,Packaged Software
PEP,"PepsiCo, Inc.",5.06204363,8.72678311,5.12421087,8.43050592,53.38009097,-7.13884205,3.3340397,13.73331944,12.59568896,17.12827058,6.4239,12.51819505,16.95983198,10.31214194,-0.2056789,4.21975685,2.6432223,-2.10250602,210.14198783,-19.83979402,6.48588591,1.70966739,1.86800312,1.50324603,1.718765,8.52819241,43.88216923,15.10623565,0.70701164,12.93611875,26.8902724,32.07258025,2.4319262,Beverages: Non-Alcoholic
CRM,"Salesforce, Inc.",4.31672123,18.3451608,6.68631424,17.34805359,65.093136,1.54548648,40.77782056,5.9262567,538.03376365,-85.93012276,0.2086,536.68341709,-85.59556787,0.66343455,3.43322108,-1.16954063,-0.24490384,3.57093137,-85.2165725,19.4964982,20.1358765,1.32940938,2.35631125,2.3486736,2.047542,1.69136365,2.67050262,2.21067231,0.93040135,3.41788205,123.80072645,25.77931623,5.89390735,Packaged Software
MCD,McDonald's Corporation,10.16819831,-0.1735356,12.68499588,4.56162227,56.42852829,12.91086483,5.00794571,44.66237609,28.40352595,-16.96857376,8.3332,28.19175498,-18.12808143,26.64670917,-6.34805392,-3.02300901,-2.90008654,-1.31734925,-40.18984041,-22.72759276,23.67077032,2.48232522,1.50029217,1.5880026,2.759851,16.04517212,,19.19955636,1.33189972,-32.13232065,23.84327877,28.64471187,7.86081202,Restaurants
NFLX,"Netflix, Inc.",4.32825176,6.45739132,2.76191428,0.66399459,39.37070524,4.76511328,7.31141493,17.81664719,13.14998634,-11.40868513,9.9535,12.75952703,-12.20242726,14.20795779,8.99435979,-2.58904452,-1.35016578,-6.54100638,41.00219524,,5.11940485,2.31591598,2.90891055,2.74110281,2.202766,9.32464613,21.22835456,12.11291457,1.29270159,8.66916604,40.32854721,32.062885,5.55880156,Data Processing Services
TMUS,"T-Mobile US, Inc.",0.29172744,-0.68274295,-2.30021598,16.27061688,42.61351497,-4.93997516,2.06084025,16.70206482,-1.82473894,-14.39419087,2.0631,-3.55695633,-14.35185185,3.25495469,4.42398051,-0.96057967,-2.27374129,2.73394782,83.26947637,76.6813325,3.53269407,2.0076002,1.91104504,2.90114281,1.942052,3.6865224,11.53891789,4.54123594,0.78227627,2.47319933,21.643619,25.46306162,2.0925383,Wireless Telecommunications
CMCSA,Comcast Corporation,-1.30436208,4.33217339,-0.86064217,8.20508023,57.14791603,-2.72274812,5.26847867,18.63177053,-3.78138848,-60.15514578,1.2122,-4.75517891,-62.07359277,4.42241017,-6.75232417,-0.41007526,-0.16168464,-0.46056741,14.66005666,-20.95433607,13.00122707,2.42939409,1.99164976,2.95754904,0.799817,5.87954519,18.59919838,8.58783385,0.70038877,2.08964842,11.11943404,10.3894385,1.37312738,Cable/Satellite TV
AMD,"Advanced Micro Devices, Inc.",0.11208668,43.61080686,6.57251494,7.23924833,36.0281344,-8.62785863,41.89809225,6.83869328,,-67.34297264,0.8402,,-58.25426945,5.59298335,444.16619696,0.49235592,0.42134831,291.12021858,-22.56097561,-3.26086957,13.19859328,4.6366185,3.50608861,4.16012723,0.67948,-0.03690881,-0.04532886,-0.04336551,1.57659799,2.79148346,,82.62231923,7.05137457,Semiconductors
NKE,"Nike, Inc.",1.01499063,9.40117969,3.1496063,0.46793921,42.36096189,33.12548714,-19.74386339,10.37877752,41.82641509,-13.9526829,3.2297,40.64015519,-16.1429044,9.9040847,-6.91947124,-1.98502571,0.27173913,-3.82513661,-116.07862903,9.97742664,9.51729796,2.68686869,1.72016098,2.06641549,0.834767,12.97480545,33.91400665,18.99712336,1.83808061,10.96489549,30.92659446,34.68272623,3.00750411,Apparel/Footwear
INTC,Intel Corporation,9.33662831,-20.20905042,29.7542044,-38.81346604,42.31452406,122.94520548,-54.34130402,3.704761,-80.11331445,-59.97076806,1.9445,-79.94598244,-59.66378095,12.70974086,8.13332067,1.72817825,-0.34049668,10.06843633,,-199.53425792,-15.25200622,3.23596793,3.0590655,4.14852178,0.438314,-0.90409648,-1.63015994,-1.15154678,1.13039072,1.43609885,,,2.81652008,Semiconductors
DIS,Walt Disney Company (The),2.57154708,22.54589164,12.02411714,34.16386603,28.03826592,13.48186233,34.7605061,8.19326713,-136.22875252,57.72402419,1.7214,-136.19197482,57.64411028,3.86655364,0.01080502,-0.52475373,-2.73918958,-10.38190455,-17.61449421,-46.73038229,1.28239283,0.94304036,1.99234201,1.99842737,0.735609,1.10430862,2.3691547,1.60469723,0.9175108,1.52972716,64.70683775,51.22485764,1.68867939,Movies/Entertainment
VZ,Verizon Communications Inc.,2.2702172,2.411442,-0.03231435,-0.82315976,44.28910732,1.70108328,-1.25594237,22.26550225,2.38397389,-4.90511388,5.0561,2.45266781,-3.66644006,15.53403734,3.56905149,1.28304668,-3.14318844,-0.89866802,18.95355045,-27.00358386,10.27076406,3.48699764,2.19213243,3.34296236,1.095101,5.49952627,22.56477817,8.43413856,0.59640426,1.58144511,6.91670529,8.87687853,1.07903442,Wireless Telecommunications
COP,ConocoPhillips,-16.3430968,70.62272017,-22.68423219,101.18150336,37.70329083,-17.12049568,70.61551004,32.62960983,-23.01730278,139.48774433,14.5678,-23.83561644,130.47406857,23.69499376,3.49433604,-2.00785206,-0.8382078,-16.56715693,-62.84916201,55.54318026,23.1032552,1.48154492,1.94280792,1.66168182,2.095008,14.09726238,26.43938076,19.93934858,1.28456221,2.97926586,11.23973222,10.29438201,2.13039079,Oil & Gas Production
INTU,Intuit Inc.,-54.93519442,12.90271884,-61.80597926,8.46122779,74.76336303,-92.86435544,16.77514793,21.86108018,-95.73536192,15.80018145,8.424,-95.73550551,15.39206196,16.59242762,0.1658614,-3.94523011,-7.04558088,-11.28647215,-77.11187215,30.76502732,33.31013363,1.7154777,2.37870658,2.48461828,1.97787,8.58882444,14.14417087,10.08737597,1.46622691,7.87676221,57.57097417,28.68257626,9.55420448,Packaged Software
TXN,Texas Instruments Incorporated,0.02207018,9.18011339,-3.26460481,12.56334805,68.75873777,-2.64084507,14.12520064,51.91232275,-0.87644292,13.80520266,9.406,-0.75890251,12.57755946,43.48412223,10.25692981,2.2592844,0.02674035,11.55252254,,-5.8945027,29.57359696,2.04634581,1.97116481,2.05913734,1.47687,24.48739059,45.37221402,28.54256738,4.21907994,8.73991572,18.23179349,78.16014563,7.1117447,Semiconductors
UNP,Union Pacific Corporation,-0.36894181,14.08457164,-0.23510972,6.12516644,44.85628141,-0.86299892,5.34384202,39.67839196,-2.6610209,12.67997629,11.2147,-2.61312938,7.28192549,28.13266332,2.86281443,0.76779792,-1.09565467,11.01689533,-2.70498732,-5.80708661,23.08341709,1.1511289,1.96502905,1.94094592,2.540125,9.65249501,49.44265351,13.95971094,0.57371795,10.25405031,19.55523976,26.068822,5.1446507,Railroads
CAT,"Caterpillar, Inc.",9.17917034,16.56009729,8.49684968,18.85091214,28.6132566,9.06040268,21.69527897,15.35160786,51.67343884,6.85431723,12.6414,50.38600103,3.32871012,11.28275027,-1.02665684,2.12554842,1.7846536,-2.23517473,208.86998785,9.33135844,8.69470106,1.82289489,2.33877997,2.22208746,4.799654,10.03999183,49.23149402,20.10436957,0.82839667,7.80700413,14.92652914,17.02018251,1.90774459,Trucks/Construction/Farm Machinery
QCOM,QUALCOMM Incorporated,-8.88409704,31.68086754,-9.03943772,32.4336925,57.83936652,-16.97976879,45.66001231,33.48642534,5.71372084,44.55992783,11.3773,5.80985915,43.04987283,29.3800905,18.85063046,1.32335305,-3.3844229,-0.8589484,134.16334661,-20.9759482,15.46153846,2.69483568,2.43888801,2.61076986,1.905498,17.98129595,47.02325835,26.62533925,1.63629918,6.65019986,13.99918777,17.49863636,3.11288428,Semiconductors
GE,General Electric Company,3.97700048,3.23159058,3.30048132,3.14483694,27.79903619,64.00947119,1.09845948,5.22782777,,91.18889559,-0.2336,1016.12903226,,1.13489441,-5.57438378,-3.89188128,-4.56468026,-8.65038256,1478.88888889,118.29971182,5.93566755,2.61124558,2.5566891,3.89714675,0.892025,5.78481301,32.46757566,17.71547813,0.81832904,3.25743924,12.45761547,23.62448112,1.69900135,Industrial Machinery
HON,Honeywell International Inc.,0.68897638,3.10000872,0.1959138,6.58420105,38.40013539,2.58582256,5.89859438,20.40447917,2.30765764,-8.12375199,7.2698,1.81573638,-10.3933598,14.00727724,-3.40468435,-1.66995524,-4.75317475,-0.45562503,38.42058563,-12.34687925,12.71542606,1.22876557,1.80879397,2.33682511,2.591161,8.90585032,30.99204305,16.54392666,1.0053985,7.10716895,22.01904242,30.89070926,3.25509342,Aerospace & Defense
UPS,"United Parcel Service, Inc.",-4.28558444,2.91140282,-30.71504803,15.19045434,20.07317512,-41.01731602,0.59775841,12.96359238,-45.80057923,-10.10414751,13.1977,-45.84334455,-10.41117145,11.54407501,2.4767668,-0.09382063,1.29001433,-7.8619555,-53.40572557,-13.66873208,9.33182718,1.78691088,1.92329699,3.13238399,2.57139,12.23815484,47.35443879,21.55218016,,5.84766258,13.63323585,20.7940367,1.24491454,Air Freight/Couriers
NOW,"ServiceNow, Inc.",6.41860465,22.87991859,6.73019655,24.85141977,78.28847481,54.18502203,8.0620155,4.89993099,-76.92368214,41.04761064,1.5968,-76.81992337,41.30434783,4.48585231,23.16169661,1.125779,2.16998192,0.81300813,-60.9375,20.7893274,29.99309869,2.41681574,2.92201157,3.37950812,2.784623,12.10825667,27.09953012,19.93714645,1.00499911,22.5952209,72.49560178,48.6130178,13.6419349,Packaged Software
NEE,"NextEra Energy, Inc.",27.29854455,25.05760098,49.03264813,27.2255444,42.39735299,43.95437262,24.05995034,34.58790796,-56.57818393,15.68692388,2.0959,-56.38640429,16.06493143,15.59257031,12.79025207,2.01990789,1.59200809,18.02751797,73.19587629,-434.29602888,-5.56474658,2.29514076,4.06705863,3.37025741,0.523664,4.64638521,17.7826513,7.6381547,0.42707748,2.82963486,14.77323813,,5.07863636,Electric Utilities
RTX,RTX Corporation,-26.48648649,4.21690491,-81.1956808,9.37024886,20.37749351,-113.12071054,1.79091113,7.89277514,-175.20752629,36.54108921,3.4975,-174.15222306,34.49792961,7.77648567,-1.57369086,0.17390125,-0.37916746,0.90304891,1325.90673575,-1.1545473,7.27554641,1.24333925,1.78813442,1.970341,1.257899,1.99022041,4.56564818,3.08898623,0.76592151,1.59125957,36.5862149,21.39577929,1.70149483,Aerospace & Defense
LMT,Lockheed Martin Corporation,1.10824897,-1.58105125,-2.00956938,-1.76465037,15.77655189,-1.07260726,-3.3170825,13.20016974,1.53878647,-4.8412036,21.6629,0.1784652,-9.23198733,8.68695441,3.94511824,-0.54757977,-0.88914221,19.96252522,227.75616083,-20.35329264,9.29316198,0.9168925,1.83125002,1.57806348,7.284923,12.81739898,65.59322034,27.89691836,1.16384575,12.21028549,16.27647368,19.20521058,1.64649328,Aerospace & Defense
BA,Boeing Company (The),-8.33881829,6.9373535,-39.31712364,-46.57513113,5.19915324,-215.55555556,-171.36384232,-5.33577552,-994.35418359,-16.00313239,-8.2955,-997.98657718,-17.44407425,-7.40913117,-1.04798199,-0.36579756,0.00765287,-1.77562415,-112.02016285,,3.43807708,1.32370973,2.60258298,2.8634011,-0.636036,-2.08432197,,-8.75179562,0.3004771,-6.81341975,,23.8313498,1.45147378,Aerospace & Defense
AMAT,"Applied Materials, Inc.",-3.00785973,11.38817815,-3.57142857,9.20110193,46.29939653,-4.58128079,7.21812434,29.96301343,-0.48400108,16.12455127,7.4401,-0.95238095,10.81861413,25.40393226,3.48886738,4.53045511,-0.37569422,1.32104989,14.28571429,-3.39338081,17.95600545,1.95537152,2.82433788,2.22539707,1.990597,22.77845539,47.43953172,33.27823976,1.58925097,9.04285545,17.22569417,15.774556,4.16321867,Industrial Machinery
SPGI,S&P Global Inc.,-1.86708861,34.75955165,0.28011204,8.06887238,57.25784814,-1.95794054,0.76940484,30.76647885,-35.26051373,-18.45804481,10.1978,-35.72327044,7.40740741,29.04928003,311.18062026,-2.14271895,-1.50619483,147.78817524,30.38869258,-29.4414819,22.48457204,1.42148081,1.97844913,2.10053544,3.04209,3.75465933,6.26693903,4.8127794,0.7827529,3.08326029,47.13395992,34.27289163,9.04356424,Financial Publishing/Services
T,AT&T Inc.,1.44733763,-9.9203211,1.31196422,-7.00442819,42.96138014,0.0541272,-5.77277799,19.34471306,-22.4433657,-144.66696009,-1.2178,-22.14301626,-142.44808525,-6.90983179,-26.96937396,-0.42967,-5.67695904,-20.57924457,0.65463553,-53.06477871,10.26743194,3.75586854,2.47539051,2.83866057,0.566107,-2.70535947,-9.96864344,-4.39260623,0.64043031,1.10642193,,6.79061915,0.89318988,Wireless Telecommunications
LOW,"Lowe's Companies, Inc.",11.67494518,0.84051948,12.09223847,0.31914194,31.41491258,19.57967545,3.52804695,13.04361265,20.7071911,-15.47797174,10.168,18.27861579,-23.70079677,6.61041222,-2.2814591,-3.04026831,0.11843664,29.30166077,101.44843569,-18.1598063,6.96483582,1.20980467,1.81157419,1.78425622,3.07888,13.20825022,,24.54182618,0.27333636,-7.79162243,18.19779809,16.28579015,1.15958976,Home Improvement Chains
SBUX,Starbucks Corporation,5.12173294,10.90719507,21.1512106,-4.36252293,19.5768936,26.2234686,-1.78561824,13.27187596,25.93908629,-20.03274801,2.8326,25.69635583,-21.85364227,10.18235526,-10.8758115,0.43343004,-0.56345958,0.84600362,279.17847025,-43.4400655,7.93091786,1.32657463,1.5136082,1.43812004,0.972151,13.30129445,,29.43705093,0.56255291,-12.26794079,28.33262286,35.88322887,3.05981419,Restaurants
DE,Deere & Company,-9.17874396,19.67272893,-5.34929535,12.87616805,29.21538755,5.04965138,7.60088447,18.6326414,5.69361076,22.59404752,23.2811,4.12587413,19.58745598,13.58027042,7.03331193,5.13487956,6.46995359,7.2087244,1941.83673469,-82.29692965,1.73490764,2.18987184,1.97724895,1.91925462,7.550543,10.55968541,47.73175542,17.88203873,0.50732905,5.344555,10.71549994,37.18760292,1.72521681,Trucks/Construction/Farm Machinery
ELV,"Elevance Health, Inc.",-1.88450266,12.95162256,,,,,,5.52955075,-30.05531101,0.33195054,24.8147,-30.43712898,-1.29423329,3.84750471,5.45044121,1.19998534,-1.18375034,4.23672382,43.375,-0.4122578,4.62786168,0.80965233,2.2649293,1.69772044,5.661517,5.69544365,16.3410111,10.03706119,,2.89486051,17.33824274,12.66792202,0.61949025,Managed Health Care
AXP,American Express Company,2.76781444,27.3870325,4.67390242,24.54226587,63.83739954,9.67741935,25.36502547,19.70478776,14.11768776,-1.8071147,9.8404,12.74918869,-6.83408296,13.40680678,21.93393725,2.32050109,-0.51337253,7.33906838,121.11643643,47.78965173,34.56068751,3.91146589,2.27025805,2.10567435,2.654707,3.41609703,31.01981898,11.3501399,,4.27260353,13.32383194,5.61172889,1.60195786,Finance/Rental/Leasing
TJX,"TJX Companies, Inc. (The)",8.27463295,2.85482701,12.07955543,-0.68215449,27.37504005,7.39161336,1.87461625,9.47412688,11.37552301,9.9533437,2.9694,10.99887767,6.55489268,7.00496636,-0.39512382,0.84027754,-2.08787784,1.89500401,129.6875,30.52177408,5.26073374,0.82711086,1.49874294,1.4801825,0.980575,14.21396462,66.32107278,23.75338902,0.55762334,15.87001872,25.63568642,22.15661432,1.98103429,Apparel/Footwear Retail
BKNG,Booking Holdings Inc. Common Stock,44.5738486,55.95911663,46.58556815,59.11767545,96.44821533,199.67320261,69.85203453,28.68929198,398.33359512,171.07398992,76.3507,384.96240602,162.48927039,17.89350497,7.27549596,5.36380227,15.16778523,15.71803853,-41.27097465,145.86645469,36.1966062,2.41148844,2.16159411,1.91120703,67.769864,17.4609704,267.12616122,34.8461749,1.55027642,37.81969168,23.99628331,15.92994766,5.31080619,Other Consumer Services
PLD,"Prologis, Inc.",-21.88140945,25.51249727,-41.02800164,37.18602739,44.3916593,-24.57744705,24.22290102,39.6241219,-38.59057709,7.70433287,4.1338,-38.51893213,14.46166867,56.32791245,50.28744891,-0.47908023,-2.09121823,46.42874706,66.4447744,43.20249895,59.85976512,1.77036431,2.32428681,1.99784821,0.571187,3.94452824,6.78180198,4.45208415,,1.73992871,31.22424862,19.15262288,12.08997155,Real Estate Investment Trusts
CI,The Cigna Group,4.62968942,3.29768066,,,,,,4.47058954,16.05427729,35.36387729,21.2991,15.23283346,24.28704567,3.70401231,-7.36041954,1.55652113,0.58693381,-8.00894725,-54.65367965,21.93142289,4.0889674,1.00509158,1.622347,1.36166237,6.681511,4.54646407,14.56802829,8.82202789,,2.01362679,13.78329985,7.86856799,0.48279963,Managed Health Care
