Ticker,Description,Revenue (Quarterly QoQ Growth),Revenue (Annual YoY Growth),Gross Profit (Quarterly QoQ Growth),Gross Profit (Annual YoY Growth),Gross Margin (FY),EBITDA (Quarterly QoQ Growth),EBITDA (Annual YoY Growth),Operating Margin (FY),EPS Diluted (Quarterly QoQ Growth),EPS Diluted (Annual YoY Growth),EPS Diluted (FY),Net Income (Quarterly QoQ Growth),Net Income (Annual YoY Growth),Net Margin (FY),Total Assets (Annual YoY Growth),Total Assets (Quarterly QoQ Growth),Total Debt (Quarterly QoQ Growth),Total Debt (Annual YoY Growth),Free Cash Flow (Quarterly QoQ Growth),Free Cash Flow (Annual YoY Growth),Free Cash Flow Margin (FY),Volatility,Volatility Month,Volatility Week,EPS Forecast (MRQ),Return on Assets (TTM),Return on Equity (TTM),Return on Invested Capital (TTM),Quick Ratio (MRQ),Price to Book (FY),Price to Earnings Ratio (TTM),Price to Free Cash Flow (TTM),Price to Revenue Ratio (TTM),Sector
HD,"Home Depot, Inc. (The)",15.18909198,4.13212752,13.42180413,3.87441688,31.97080106,16.39344262,4.29310478,15.27226292,21.49452044,7.44071954,16.6878,20.29434547,4.08933244,10.86701016,6.35678112,0.00130914,0.13150441,8.85041821,23.147165,-17.91503035,7.30354568,0.60367174,1.66570412,1.40235811,3.787016,21.32946154,2065.26717557,34.75868271,0.35353118,183.48510472,17.61697185,17.39112853,1.82685678,Retail Trade
ORCL,Oracle Corporation,-10.0021681,17.70499529,-12.52571181,1.21864684,65.67642231,-16.76535273,4.74083439,27.57737118,-27.78433024,27.50311074,3.0741,-27.08647183,26.58925115,17.02165993,22.95305452,1.69514228,-6.71763892,19.95319931,51.58007499,68.4566428,16.95559915,0.95432856,2.24114988,2.74064933,1.32492,7.02398388,,11.98846673,0.87415704,260.3034134,30.62803082,30.73800635,5.70272256,Technology Services
MRK,"Merck & Company, Inc.",3.27711504,19.55957225,3.95469192,16.43858808,70.57445317,-181.10028421,24.30308501,33.35043524,-312.81425213,11.09036449,5.7116,-311.80432471,11.26523105,24.83026354,3.27927792,-3.08638539,20.0513888,-7.64055326,725,52.23061795,25.15177945,1.16110305,1.6343818,1.92395455,1.950234,2.94095404,7.59373169,4.30016863,1.02791314,5.72952988,85.50016469,24.3468715,4.59658474,Health Technology
ABBV,AbbVie Inc.,13.41513292,3.30444686,8.39583567,6.54495173,71.67292521,-10.86075949,9.90095508,38.93271781,785.20249221,2.68067435,6.6266,782.89473684,2.73805371,20.29489785,-5.27131148,0.6116958,-1.73610552,-17.25298099,52.83723245,10.26830377,41.76800909,0.33219178,1.58329089,1.66679141,2.867715,6.20707729,62.82931793,11.97924245,0.76916157,15.0043117,30.05154745,10.45003549,4.62578637,Health Technology
COST,Costco Wholesale Corporation,47.14248434,6.75731646,50.16221227,7.73248223,12.2596888,60.22371365,5.29294935,3.34887944,65.86464626,7.73984383,14.1568,65.89861751,7.6659822,2.59688803,7.52423402,3.35870086,17.01466015,-7.53027909,200.83217753,92.65924022,2.78385406,0.61810557,1.79039545,1.64328953,3.403864,9.45028537,27.53610503,19.31394367,0.57255159,9.7098856,38.81483679,36.20727695,1.00795775,Retail Trade
KO,Coca-Cola Company (The),-0.30027525,10.62593606,2.21350518,6.85244207,57.90947924,-12.16382926,8.75792246,27.90084265,21.01585137,-2.56729146,2.1936,21.20141343,-2.34367004,22.27305618,-1.68620302,-0.89176891,-3.49309309,-8.20446735,-5.23002421,-15.31355481,22.25438248,0.67253142,1.74697407,1.28759045,0.482355,11.33602387,43.85100753,18.13956621,0.96747101,10.00260344,22.47277128,23.76850442,5.39988138,Consumer Non-Durables
ADBE,Adobe Inc.,1.64377861,10.30947408,1.69370229,9.67741935,86.60929432,4.27257977,2.72495883,33.97590361,8.34012689,0.72518703,10.0977,8.33976834,-1.36872667,27.28628801,-0.27899123,4.49744953,-0.41332361,-0.85598117,-11.69474727,7.46875908,42.43258749,2.56917184,2.65805064,2.72285112,4.133367,18.34366157,33.971276,26.79468397,1.24910007,17.33313781,47.43847019,31.72914241,12.88289,Technology Services
PEP,"PepsiCo, Inc.",5.06204363,8.72678311,5.12421087,8.43050592,53.38009097,-7.13884205,3.3340397,13.73331944,12.59568896,17.12827058,6.4239,12.51819505,16.95983198,10.31214194,-0.2056789,4.21975685,2.6432223,-2.10250602,210.14198783,-19.83979402,6.48588591,0.37642703,1.92879431,1.39616539,1.718765,8.52819241,43.88216923,15.10623565,0.70701164,13.02564901,27.07637869,32.29455304,2.44875745,Consumer Non-Durables
CSCO,"Cisco Systems, Inc.",4.33738247,10.55336812,5.61615725,12.28119618,62.90922489,7.73505223,7.35349011,27.24657006,23.73640435,9.04251544,3.0726,23.22540473,6.78123942,22.12884663,8.35088615,4.43252776,-0.48641218,-10.88912035,15.84158416,49.32151541,33.39941752,1.14659339,1.3830005,1.44985571,1.03151,12.88000245,29.98597342,25.06782204,1.18189658,4.84128541,17.19691296,11.35427483,3.79226166,Technology Services
BAC,Bank of America Corporation,1.12712617,20.65955181,,,,,,27.84085992,2.40072818,-10.78870715,3.1852,5.31857451,-13.91581712,23.82427778,-4.0734083,0.9570959,2.5240492,0.36504772,,246.74377672,71.60784449,0.61228521,2.49958889,2.18045335,0.680551,0.97985189,10.96071062,5.47189561,,0.82826103,7.10642114,,1.23162879,Finance
CRM,"Salesforce, Inc.",4.31672123,18.3451608,6.68631424,17.34805359,65.093136,1.54548648,40.77782056,5.9262567,538.03376365,-85.93012276,0.2086,536.68341709,-85.59556787,0.66343455,3.43322108,-1.16954063,-0.24490384,3.57093137,-85.2165725,19.4964982,20.1358765,1.34987593,2.41540607,2.29047217,2.047542,1.69136365,2.67050262,2.21067231,0.93040135,3.48384163,126.18987976,26.27681524,6.00765021,Technology Services
MCD,McDonald's Corporation,10.16819831,-0.1735356,12.68499588,4.56162227,56.42852829,12.91086483,5.00794571,44.66237609,28.40352595,-16.96857376,8.3332,28.19175498,-18.12808143,26.64670917,-6.34805392,-3.02300901,-2.90008654,-1.31734925,-40.18984041,-22.72759276,23.67077032,0.67060762,1.51797758,1.24065191,2.997688,16.04517212,,19.19955636,1.33189972,-32.00949826,23.75214037,28.5352205,7.8307649,Consumer Services
NFLX,"Netflix, Inc.",4.32825176,6.45739132,2.76191428,0.66399459,39.37070524,4.76511328,7.31141493,17.81664719,13.14998634,-11.40868513,9.9535,12.75952703,-12.20242726,14.20795779,8.99435979,-2.58904452,-1.35016578,-6.54100638,41.00219524,,5.11940485,1.55912805,2.82941477,2.65658298,2.202766,9.32464613,21.22835456,12.11291457,1.29270159,8.88811631,41.34709343,32.87267192,5.69919581,Technology Services
CMCSA,Comcast Corporation,2.76851571,4.33217339,7.19101124,8.20508023,57.14791603,8.74456118,5.26847867,18.63177053,11.96251378,-60.15514578,1.2122,10.79812207,-62.07359277,4.42241017,-6.75232417,1.04768549,1.94923838,-0.46056741,-7.18667835,-20.95433607,13.00122707,0.78594545,1.7319941,1.72164032,0.950747,2.45965921,7.41462303,3.545174,0.75693242,2.26841555,27.58960051,11.9154976,1.5090362,Consumer Services
PFE,"Pfizer, Inc.",-30.34678919,23.42535184,-33.47772783,32.45866667,61.88577694,-53.60274495,63.99707512,37.42549586,-57.86917433,41.01242332,5.471,-57.97546012,41.6218901,31.26283265,8.66726179,12.5505452,82.04892455,-5.67459838,-2968.91891892,0.40845023,29.89235523,0.71005917,2.35851987,1.96898315,-0.079838,10.34713497,23.08353201,15.2505694,1.81940716,1.787638,8.11199616,11.89394571,2.23186968,Health Technology
TMO,Thermo Fisher Scientific Inc,-0.21475257,14.54693836,2.03154876,-3.17306713,42.32661694,2.84822474,-7.77691712,18.98029611,5.58364939,-9.34712001,17.6396,5.58572537,-10.03236246,15.47367249,2.1351303,-0.58420841,-3.54255892,-0.73199593,363.46863469,1.7970246,15.38684181,8.3356974,2.20048027,2.42538938,6.457444,6.19544736,13.29769307,7.91894193,1.01615646,3.83613551,29.53951822,28.63355825,3.85122806,Health Technology
TMUS,"T-Mobile US, Inc.",-2.2208639,-0.68274295,3.12952445,16.27061688,42.61351497,4.21340236,2.06084025,16.70206482,17.27054665,-14.39419087,2.0631,14.48453608,-14.35185185,3.25495469,4.42398051,0.20411756,2.30149395,2.73394782,49.14285714,76.6813325,3.53269407,4.08163265,1.74863947,2.13951789,1.959449,2.9262138,9.05261297,3.56643397,0.76779682,2.47209214,27.74359331,38.56535158,2.12316057,Communications
ABT,Abbott Laboratories,1.653638,1.34184562,11.54701719,-3.83820109,51.13737887,,-8.70623332,19.15561359,4.95719944,-0.55636003,3.9144,4.81751825,-1.94547004,15.81792775,-1.00803234,,,-6.77886863,,-9.75948196,17.87735093,0.82952249,2.38872107,2.16816296,1.188794,,,,,4.46030584,31.96632265,,4.11901399,Health Technology
AMD,"Advanced Micro Devices, Inc.",0.11208668,43.61080686,6.57251494,7.23924833,36.0281344,-8.62785863,41.89809225,6.83869328,,-67.34297264,0.8402,,-58.25426945,5.59298335,444.16619696,0.49235592,0.42134831,291.12021858,-22.56097561,-3.26086957,13.19859328,1.86354073,3.41084674,2.66491435,0.679758,-0.03690881,-0.04532886,-0.04336551,1.57659799,2.9439978,,87.13643814,7.43663055,Electronic Technology
NKE,"Nike, Inc.",1.01499063,9.40117969,3.1496063,0.46793921,42.36096189,33.12548714,-19.74386339,10.37877752,41.82641509,-13.9526829,3.2297,40.64015519,-16.1429044,9.9040847,-6.91947124,-1.98502571,0.27173913,-3.82513661,-116.07862903,9.97742664,9.51729796,0.68925905,1.79213291,1.40980629,0.834767,12.97480545,33.91400665,18.99712336,1.83808061,11.4292872,32.23641581,36.15162948,3.1348797,Consumer Non-Durables
DIS,Walt Disney Company (The),2.57154708,22.54589164,12.02411714,34.16386603,28.03826592,13.48186233,34.7605061,8.19326713,-136.22875252,57.72402419,1.7214,-136.19197482,57.64411028,3.86655364,0.01080502,-0.52475373,-2.73918958,-10.38190455,-17.61449421,-46.73038229,1.28239283,0.56029233,1.96592797,2.18738282,0.735609,1.10430862,2.3691547,1.60469723,0.9175108,1.58002692,66.83449732,52.90920914,1.74420575,Consumer Services
AMGN,Amgen Inc.,14.81909797,0.40404818,18.55527348,0.78328982,75.44841331,27.98844348,0.36653386,35.77724973,-51.37008351,17.75876319,12.1109,-51.46075326,11.18275921,25.11114518,6.46775116,1.74594229,-0.08279893,16.66029018,433.05555556,4.82042716,33.66932393,0.58162783,1.99372267,1.85056703,4.681513,10.66975121,173.45652174,15.30273681,2.48008423,40.27532852,18.61901551,15.30990604,5.62868466,Health Technology
COP,ConocoPhillips,-16.3430968,70.62272017,-22.68423219,101.18150336,37.70329083,-17.12049568,70.61551004,32.62960983,-23.01730278,139.48774433,14.5678,-23.83561644,130.47406857,23.69499376,3.49433604,-2.00785206,-0.8382078,-16.56715693,-62.84916201,55.54318026,23.1032552,1.15033883,2.10128337,1.84707167,2.083645,14.09726238,26.43938076,19.93934858,1.28456221,3.07347139,11.59513687,10.61989432,2.19775457,Energy Minerals
VZ,Verizon Communications Inc.,2.2702172,2.411442,-0.03231435,-0.82315976,44.28910732,0.74475288,-1.25594237,22.26550225,2.42929659,-4.90511388,5.0561,2.45266781,-3.66644006,15.53403734,3.56905149,1.28304668,-3.14318844,-0.89866802,18.95355045,-27.00358386,10.27076406,1.764187,1.9566511,2.25291737,1.098233,5.49952627,22.56477817,8.43413856,0.64441331,1.56799914,6.85720619,8.80140437,1.06986011,Communications
WFC,Wells Fargo & Company,2.42990013,12.41454392,,,,,,68.0846411,18.32427247,-36.40371277,3.1449,16.78817335,-38.82494895,13.72710327,-2.95153123,1.75561738,9.3444312,15.48598515,,-81.4687535,5.16614773,0.66632496,2.14184547,1.94803146,1.085131,0.98019385,10.40055589,5.27060106,,0.93335497,8.41919214,,1.05977057,Finance
INTC,Intel Corporation,10.53350405,-20.20905042,15.71856287,-38.81346604,42.31452406,51.76715177,-54.34130402,3.704761,,-59.97076806,1.9445,,-59.66378095,12.70974086,8.13332067,0.17592807,-2.44067392,10.06843633,66.51445967,-199.53425792,-15.25200622,2.12577502,2.90488609,3.3384916,0.219649,-0.51790915,-0.91181052,-0.6559523,1.15423105,1.3866415,,,2.6393868,Electronic Technology
PM,Philip Morris International Inc,2.24832215,0.58380655,4.62184874,-5.15080113,63.83646801,,-3.07802434,39.17345935,30.95190779,-0.20253338,5.8144,31.03007038,-0.64956512,28.62126931,49.38483894,1.7117088,-0.37166183,53.69063581,,-13.30778144,30.84779092,0.47545334,1.76282636,1.89962887,1.479862,15.42009185,,34.66360127,,-15.72370584,17.6555182,,4.13317232,Consumer Non-Durables
DHR,Danaher Corporation,-0.13952839,6.85159407,-7.52860412,5.55369875,60.21098789,-15.31263292,6.86044236,27.63496552,-23.3801073,12.18090849,9.6636,-23.72413793,12.06280118,22.90680309,1.40171187,-0.16227658,0.2054271,-10.88432451,-5.20334928,4.28935447,23.40885259,4.76900149,2.57161143,2.67278117,1.956801,7.63010773,12.93866341,9.30865661,1.69895288,2.83601365,22.20396674,19.49383053,4.62493634,Health Technology
INTU,Intuit Inc.,-54.93519442,12.90271884,-61.80597926,8.46122779,74.76336303,-92.86435544,16.77514793,21.86108018,-95.73536192,15.80018145,8.424,-95.73550551,15.39206196,16.59242762,0.1658614,-3.94523011,-7.04558088,-11.28647215,-77.11187215,30.76502732,33.31013363,2.11159561,2.45466367,2.55708173,1.97787,8.58882444,14.14417087,10.08737597,1.46622691,8.05327365,58.86109001,29.32532804,9.76830596,Technology Services
TXN,Texas Instruments Incorporated,0.02207018,9.18011339,-3.26460481,12.56334805,68.75873777,-2.64084507,14.12520064,51.91232275,-1.1329628,13.80520266,9.406,-0.23350846,12.57755946,43.48412223,10.25692981,2.2592844,0.02674035,11.55252254,,-5.8945027,29.57359696,4.27253371,2.03902039,2.08346781,1.536848,24.51858913,45.4300212,28.57893248,4.21907994,8.83469862,18.44099065,79.00777913,7.18887036,Electronic Technology
UPS,"United Parcel Service, Inc.",-3.73189832,2.91140282,5.06840099,15.19045434,20.07317512,11.66163142,0.59775841,12.96359238,10.32499544,-10.10414751,13.1977,9.81530343,-10.41117145,11.54407501,2.4767668,-2.55163529,-4.8456147,-7.8619555,15.90389016,-13.66873208,9.33182718,0.61316623,1.58615172,1.435455,1.522726,14.25987638,55.15588851,24.93959999,1.32364156,6.45120126,12.8846854,20.62708414,1.33498607,Transportation
CAT,"Caterpillar, Inc.",9.17917034,16.56009729,8.49684968,18.85091214,28.6132566,9.06040268,21.69527897,15.35160786,51.67343884,6.85431723,12.6414,50.38600103,3.32871012,11.28275027,-1.02665684,2.12554842,1.7846536,-2.23517473,208.86998785,9.33135844,8.69470106,0.80109496,2.36269065,2.01575084,4.799654,10.03999183,49.23149402,20.10436957,0.82839667,8.08552938,15.4590529,17.62740014,1.97580592,Producer Manufacturing
IBM,International Business Machines Corporation,8.58125175,5.54305941,11.62570888,1.59688413,51.71320007,26.63358147,-6.48065476,12.82834958,70.46534653,-71.69995589,1.7966,70.76591154,-71.44349643,2.94564679,-3.60451815,-1.06557316,-2.22452818,-2.04388828,-34.46587964,-15.32513508,15.0156947,0.64727273,1.39083471,1.20707545,2.124312,1.67105608,10.43018505,3.08245204,0.9842217,5.70312768,64.04822629,11.6626668,2.09825489,Technology Services
UNP,Union Pacific Corporation,-0.36894181,14.08457164,-0.23510972,6.12516644,44.85628141,-0.86299892,5.34384202,39.67839196,-2.6610209,12.67997629,11.2147,-2.61312938,7.28192549,28.13266332,2.86281443,0.76779792,-1.09565467,11.01689533,-2.70498732,-5.80708661,23.08341709,0.77998528,1.97780122,2.43011414,2.540125,9.65249501,49.44265351,13.95971094,0.57371795,10.2827542,19.60998022,26.14179576,5.15905199,Transportation
GE,General Electric Company,15.27998343,3.23159058,15.11873351,3.14483694,27.79903619,20.66666667,1.09845948,5.22782777,-100.36994496,91.18889559,-0.2336,-99.58694204,,1.13489441,-5.57438378,-0.89133713,-2.55060398,-8.65038256,,118.29971182,5.93566755,1.32943366,2.37737934,2.65412856,0.873525,5.45580784,28.88082256,16.11074869,0.90263574,3.3841424,13.77687271,25.83145497,1.70713907,Producer Manufacturing
QCOM,QUALCOMM Incorporated,-8.88409704,31.68086754,-9.03943772,32.4336925,57.83936652,-16.97976879,45.66001231,33.48642534,5.71372084,44.55992783,11.3773,5.80985915,43.04987283,29.3800905,18.85063046,1.32335305,-3.3844229,-0.8589484,134.16334661,-20.9759482,15.46153846,1.36146263,2.37083658,2.33110983,1.905595,17.98129595,47.02325835,26.62533925,1.63629918,6.73545883,14.17866454,17.72297786,3.15279305,Electronic Technology
HON,Honeywell International Inc.,3.17048403,3.10000872,3.80592679,6.58420105,38.40013539,6.05200946,5.89859438,20.40447917,7.11630377,-8.12375199,7.2698,6.67144907,-10.3933598,14.00727724,-3.40468435,4.09799108,11.20282432,-0.45562503,,-12.34687925,12.71542606,0.60324312,1.68826527,1.46512645,2.228229,8.75155504,31.29735936,16.39009139,1.06515663,7.23081713,22.36386139,29.01416866,3.35155643,Electronic Technology
MS,Morgan Stanley,4.55163621,7.55965576,,,,,,21.31686619,11.1916848,-23.37293581,6.153,10.35747021,-26.63961687,16.71313835,-0.70635256,,,2.01913188,,-13.50977968,36.05091681,0.57624736,2.29306926,2.29669525,1.279275,,,,,1.31091381,12.80327311,,1.28800407,Finance
BMY,Bristol-Myers Squibb Company,-0.979095,-0.48722647,-5.93922652,-1.01266769,57.38859161,-10.30822617,-3.65042613,20.08492385,-7.87482485,-5.36367722,2.9483,-8.35543767,-9.53674578,13.70696939,-11.42946009,-0.840042,-0.469889,-10.70050004,-39.52451709,-21.57017198,25.8844429,1.05301678,1.4893436,1.50958007,1.764171,8.21580017,24.66355907,11.49949817,1.27593052,3.81963587,15.05428069,11.08842256,2.63057715,Health Technology
RTX,RTX Corporation,-26.48648649,4.21690491,-81.1956808,9.37024886,20.37749351,-113.12071054,1.79091113,7.89277514,-175.20752629,36.54108921,3.4975,-174.15222306,34.49792961,7.77648567,-1.57369086,0.17390125,-0.37916746,0.90304891,1325.90673575,-1.1545473,7.27554641,1.23221545,1.7529075,1.77943449,1.267353,1.99022041,4.56564818,3.08898623,0.76592151,1.59660919,36.70921327,21.46770928,1.70721505,Electronic Technology
NEE,"NextEra Energy, Inc.",27.29854455,25.05760098,49.03264813,27.2255444,42.39735299,43.95437262,24.05995034,34.58790796,-56.57818393,15.68692388,2.0959,-56.38640429,16.06493143,15.59257031,12.79025207,2.01990789,1.59200809,18.02751797,73.19587629,-434.29602888,-5.56474658,2.36036036,4.60690653,2.84244621,0.523664,4.64638521,17.7826513,7.6381547,0.42707748,2.83951186,14.82480497,,5.09636364,Utilities
